"Número do Alimento","Categoria do alimento","Descrição dos alimentos","Umidade....","Energia..kcal.","Energia..kJ.","Proteína..g.","Lipídeos..g.","Colesterol..mg.","Carboidrato..g.","Fibra.Alimentar..g.","Cinzas..g.","Cálcio..mg.","Magnésio..mg.","Manganês..mg.","Fósforo..mg.","Ferro..mg.","Sódio..mg.","Potássio..mg.","Cobre..mg.","Zinco..mg.","Retinol..mcg.","RE..mcg.","RAE..mcg.","Tiamina..mg.","Riboflavina..mg.","Piridoxina..mg.","Niacina..mg.","Vitamina.C..mg."
1,"Cereais e derivados","Arroz, integral, cozido",70.1,124,517,2.6,1,NA,25.8,2.7,0.5,5,59,0.63,106,0.3,1,75,0.02,0.7,NA,NA,NA,0.08,1e-05,0.08,1e-05,NA
2,"Cereais e derivados","Arroz, integral, cru",12.2,360,1505,7.3,1.9,NA,77.5,4.8,1.2,8,110,2.99,251,0.9,2,173,0.07,1.4,NA,NA,NA,0.26,1e-05,0.18,4.18,NA
3,"Cereais e derivados","Arroz, tipo 1, cozido",69.1,128,537,2.5,0.2,NA,28.1,1.6,0.1,4,2,0.3,18,0.1,1,15,0.02,0.5,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,NA
4,"Cereais e derivados","Arroz, tipo 1, cru",13.2,358,1497,7.2,0.3,NA,78.8,1.6,0.5,4,30,1.03,104,0.7,1,62,0.11,1.2,NA,NA,NA,0.16,1e-05,0.07,1.12,NA
5,"Cereais e derivados","Arroz, tipo 2, cozido",68.7,130,544,2.6,0.4,NA,28.2,1.1,0.1,3,6,0.37,22,0.1,2,20,0.04,0.5,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,NA
6,"Cereais e derivados","Arroz, tipo 2, cru",13.2,358,1498,7.2,0.3,NA,78.9,1.7,0.4,5,29,0.83,82,0.6,1,57,0.05,1.3,NA,NA,NA,0.16,1e-05,0.05,0.92,NA
7,"Cereais e derivados","Aveia, flocos, crua",9.1,394,1648,13.9,8.5,NA,66.6,9.1,1.8,48,119,1.89,153,4.4,5,336,0.44,2.6,NA,NA,NA,0.55,0.03,1e-05,4.47,1.4
8,"Cereais e derivados","Biscoito, doce, maisena",3.2,443,1853,8.1,12,NA,75.2,2.1,1.5,54,37,0.78,166,1.8,352,142,0.17,1,NA,NA,NA,1.01,0.42,0.23,3.91,6.2
9,"Cereais e derivados","Biscoito, doce, recheado com chocolate",2.2,472,1974,6.4,19.6,1e-05,70.5,3,1.3,27,48,0.59,139,2.3,239,232,0.27,1,1e-05,NA,NA,0.32,0.39,0.46,2.52,3.5
10,"Cereais e derivados","Biscoito, doce, recheado com morango",2.7,471,1971,5.7,19.6,1e-05,71,1.5,1,36,27,0.66,138,1.5,230,113,0.13,0.7,1e-05,NA,NA,0.9,0.42,0.21,1.5,1e-05
11,"Cereais e derivados","Biscoito, doce, wafer, recheado de chocolate",1.2,502,2102,5.6,24.7,1e-05,67.5,1.8,1.1,23,48,0.44,124,2.4,137,240,0.26,0.9,1e-05,NA,NA,0.37,0.03,0.3,1.12,1e-05
12,"Cereais e derivados","Biscoito, doce, wafer, recheado de morango",1.2,513,2148,4.5,26.4,1,67.4,0.8,0.6,14,19,0.28,73,1.1,120,75,0.08,0.5,1e-05,NA,NA,0.36,1e-05,0.94,0.37,NA
13,"Cereais e derivados","Biscoito, salgado, cream cracker",4.1,432,1806,10.1,14.4,NA,68.7,2.5,2.7,20,40,0.69,148,2.2,854,181,0.18,1.1,NA,NA,NA,0.71,0.13,0.17,7.14,NA
14,"Cereais e derivados","Bolo, mistura para",1,419,1752,6.2,6.1,1e-05,84.7,1.7,2,59,28,0.46,333,1.2,463,75,0.15,0.6,NA,NA,NA,0.18,1e-05,1.5,1.52,1e-05
15,"Cereais e derivados","Bolo, pronto, aipim",34.1,324,1355,4.4,12.7,73,47.9,0.7,0.8,85,10,0.11,122,0.5,111,135,0.05,0.4,1e-05,NA,NA,0.13,0.07,1e-05,1e-05,1e-05
16,"Cereais e derivados","Bolo, pronto, chocolate",19.3,410,1715,6.2,18.5,77,54.7,1.4,1.3,75,28,0.38,197,2.1,283,212,0.05,0.7,1e-05,NA,NA,0.13,0.09,0.05,1e-05,1e-05
17,"Cereais e derivados","Bolo, pronto, coco",29.3,333,1395,5.7,11.3,63,52.3,1.1,1.4,57,16,0.4,303,0.8,190,143,0.09,0.7,1e-05,1e-05,1e-05,0.15,0.06,1e-05,1e-05,1e-05
